Feature,Importance
GFR_Creatinine_Ratio,0.09827637586861732
SerumCreatinine,0.07000561495001145
GFR,0.05661077826184424
ProteinInUrine,0.03815102301478997
Itching,0.03813407616681074
HealthRiskScore,0.03684354198397286
BUNLevels,0.036005266043961474
MuscleCramps,0.0313774822229406
DietQuality,0.02334396912529548
FastingBloodSugar,0.023278482343436872
HbA1c,0.02318634922942744
SystolicBP,0.022565251212699304
CholesterolHDL,0.02150051878934759
CholesterolLDL,0.021400852412988596
NauseaVomiting,0.020876173363452988
