,0
PatientID,0
Age,0
Gender,0
Ethnicity,0
SocioeconomicStatus,0
EducationLevel,0
BMI,0
Smoking,0
AlcoholConsumption,0
PhysicalActivity,0
DietQuality,0
SleepQuality,0
FamilyHistoryKidneyDisease,0
FamilyHistoryHypertension,0
FamilyHistoryDiabetes,0
PreviousAcuteKidneyInjury,0
UrinaryTractInfections,0
SystolicBP,0
DiastolicBP,0
FastingBloodSugar,0
HbA1c,0
SerumCreatinine,0
BUNLevels,0
GFR,0
ProteinInUrine,0
ACR,0
SerumElectrolytesSodium,0
SerumElectrolytesPotassium,0
SerumElectrolytesCalcium,0
SerumElectrolytesPhosphorus,0
HemoglobinLevels,0
CholesterolTotal,0
CholesterolLDL,0
CholesterolHDL,0
CholesterolTriglycerides,0
ACEInhibitors,0
Diuretics,0
NSAIDsUse,0
Statins,0
AntidiabeticMedications,0
Edema,0
FatigueLevels,0
NauseaVomiting,0
MuscleCramps,0
Itching,0
QualityOfLifeScore,0
HeavyMetalsExposure,0
OccupationalExposureChemicals,0
WaterQuality,0
MedicalCheckupsFrequency,0
MedicationAdherence,0
HealthLiteracy,0
Diagnosis,0
DoctorInCharge,0
